CNS,COD_MCPIO,MCPIO
36.7,66456,Mistrató
47.6,66572,Pueblo Rico
64.3,66594,Quinchía
71.2,66682,Santa Rosa de Cabal
59.4,66687,Santuario
87.6,68001,Bucaramanga
54.3,68013,Aguada
50.7,68020,Albania
77.8,68051,Aratoca
77.6,68077,Barbosa
76.0,68079,Barichara
91.4,68081,Barrancabermeja
61.5,68092,Betulia
48.9,68101,Bolívar
51.4,68121,Cabrera
62.1,68132,California
79.4,68147,Capitanejo
57.1,68152,Carcasí
78.4,68160,Cepitá
59.5,68162,Cerrito
95.4,68167,Charalá
73.7,68169,Charta
65.5,68176,Chima
62.5,68179,Chipatá
48.5,68190,Cimitarra
65.8,68207,Concepción
59.6,68209,Confines
70.0,68211,Contratación
44.5,68217,Coromoro
67.5,68229,Curití
49.2,68235,El Carmen de Chucurí
68.4,68245,El Guacamayo
53.1,68250,El Peñón
75.3,68255,El Playón
73.9,68264,Encino
90.8,68266,Enciso
57.7,68271,Florián
73.7,68276,Floridablanca
88.4,68296,Galán
38.6,68298,Gambita
62.9,68307,Girón
56.6,68318,Guaca
74.1,68320,Guadalupe
72.3,68322,Guapotá
46.0,68324,Guavatá
88.7,68327,Güepsa
58.1,68344,Hato
78.7,68368,Jesús María
104.6,68370,Jordán
49.3,68377,La Belleza
49.0,68385,Landázuri
62.3,68397,La Paz
69.7,68406,Lebríja
71.5,68418,Los Santos
85.3,68425,Macaravita
102.7,68432,Málaga
80.9,68444,Matanza
71.7,68464,Mogotes
56.0,68468,Molagavita
61.0,68498,Ocamonte
71.9,68500,Oiba
61.1,68502,Onzaga
45.8,68522,Palmar
77.8,68524,Palmas del Socorro
82.6,68533,Páramo
81.1,68547,Piedecuesta
69.3,68549,Pinchote
43.3,68573,Puerto Parra
69.6,68575,Puerto Wilches
59.7,68615,Rionegro
111.5,68655,Sabana de Torres
88.8,68669,San Andrés
44.4,68673,San Benito
102.7,68679,San Gil
55.4,68682,San Joaquín
64.9,68684,San José de Miranda
84.7,68686,San Miguel
65.3,68689,San Vicente de Chucurí
61.9,68705,Santa Bárbara
47.0,68720,Santa Helena del Opón
60.3,68745,Simacota
84.5,68755,Socorro
73.9,68770,Suaita
57.4,68773,Sucre
76.3,68780,Suratá
60.2,68820,Tona
82.9,68855,Valle de San José
80.1,68861,Vélez
82.4,68872,Villanueva
84.4,68895,Zapatoca
81.2,70001,Sincelejo
80.1,70110,Buenavista
68.1,70124,Caimito
76.6,70204,Colosó
89.0,70215,Corozal
85.7,70221,Coveñas
75.3,70230,Chalán
61.9,70233,El Roble
71.7,70235,Galeras
56.8,70265,Guaranda
70.0,70400,La Unión
82.5,70418,Los Palmitos
85.4,70429,Majagual
56.4,70473,Morroa
81.3,70508,Ovejas
58.5,70523,Palmito
78.1,70670,Sampués
77.6,70678,San Benito Abad
78.3,70702,San Juan de Betulia
72.2,70708,San Marcos
0.7999,00000,NACIONAL
64.8,70713,San Onofre
90.2,70717,San Pedro
62.1,70742,Sincé
67.3,70771,Sucre
68.5,70820,Santiago de Tolú
78.7,70823,Toluviejo
76.4,73001,Ibagué
71.4,73024,Alpujarra
75.1,73026,Alvarado
69.0,73030,Ambalema
33.8,73043,Anzoátegui
76.5,73055,Armero
53.2,73067,Ataco
67.9,73124,Cajamarca
83.9,73148,Carmen de Apicalá
62.8,73152,Casabianca
66.3,73168,Chaparral
65.7,73200,Coello
68.6,73217,Coyaima
73.2,73226,Cunday
84.0,73236,Dolores
77.4,73268,Espinal
72.6,73270,Falan
68.1,73275,Flandes
74.8,73283,Fresno
75.9,73319,Guamo
69.0,73347,Herveo
79.2,73349,Honda
85.2,73352,Icononzo
75.2,73408,Lérida
72.7,73411,Líbano
81.9,73443,Mariquita
76.4,73449,Melgar
48.5,73461,Murillo
67.6,73483,Natagaima
77.6,73504,Ortega
54.1,73520,Palocabildo
83.0,73547,Piedras
51.5,73555,Planadas
97.8,73563,Prado
68.5,73585,Purificación
44.3,73616,Rioblanco
59.3,73622,Roncesvalles
77.0,73624,Rovira
76.0,73671,Saldaña
74.0,73675,San Antonio
56.0,73678,San Luis
71.2,73686,Santa Isabel
59.5,73770,Suárez
66.5,73854,Valle de San Juan
51.7,73861,Venadillo
52.9,73870,Villahermosa
80.1,73873,Villarrica
74.5,76001,Cali
38.4,76020,Alcalá
78.1,76036,Andalucía
58.0,76041,Ansermanuevo
54.6,76054,Argelia
77.3,76100,Bolívar
43.9,76109,Buenaventura
89.7,76111,Guadalajara de Buga
80.4,76113,Bugalagrande
67.3,76122,Caicedonia
83.1,76126,Calima El Darien
77.9,76130,Candelaria
77.1,76147,Cartago
82.1,76233,Dagua
58.4,76243,El Águila
48.1,76246,El Cairo
85.6,76248,El Cerrito
